video_id,comment_count,comments_status,view_count,like_count,error,comments_actually_available,comments_reason,transcript_actually_available,transcript_reason
vSoxHrYfOdE,578,enabled,346882,2086.0,nan,True,ok,True,ok
nAyKEJUc6gM,1075,enabled,1061523,7542.0,nan,True,ok,True,ok
H1FeZBKD7lE,4644,enabled,1813917,35791.0,nan,True,ok,True,ok
qXZy2NDGaVU,5388,enabled,1377241,21262.0,nan,True,ok,True,ok
5wosC9QLQTM,3507,enabled,5688622,22313.0,nan,True,ok,True,ok
ShjRCYXU-xM,801,enabled,262886,5022.0,nan,True,ok,True,ok
bjIUHssc_VI,13,enabled,20280,447.0,nan,True,ok,True,ok
PXTAhwqqAmY,3421,enabled,596002,8608.0,nan,True,ok,True,ok
lhTQgIwKhoo,45,enabled,6369,107.0,nan,True,ok,True,ok
Zk8-NMLuh1U,286,enabled,1363641,8274.0,nan,True,ok,True,ok
-XxhX9rIZjM,608,enabled,4964676,11201.0,nan,True,ok,True,ok
nltJ0uSlUhs,575,enabled,201535,4089.0,nan,True,ok,True,ok
LZ9imO-PP1Y,0,disabled,403696,5126.0,nan,False,disabled,True,ok
Ksrk3YpvZX0,10461,enabled,3878895,65386.0,nan,True,ok,True,ok
Pe7gDieRKKI,214,enabled,85863,1814.0,nan,True,ok,True,ok
RTnDs3ujHXE,8115,enabled,4950721,40491.0,nan,True,ok,True,ok
u42COg-qCMI,126,enabled,62312,1741.0,nan,True,ok,True,ok
EFkCSHbZlsw,115,enabled,116116,1567.0,nan,True,ok,True,ok
lby3EcvSGfc,3554,enabled,663505,9012.0,nan,True,ok,True,ok
WpHtn8uay7I,257,enabled,91114,836.0,nan,True,ok,True,ok
khbLWzR75kc,83,enabled,72876,2285.0,nan,True,ok,True,ok
NDrOteZX0Ao,6684,enabled,8291133,48912.0,nan,True,ok,True,ok
DM8U9h6QSCI,3693,enabled,2724674,27241.0,nan,True,ok,True,ok
jto8n1dBtS4,18,enabled,14799,125.0,nan,True,ok,True,ok
UfOgf9rT-Og,92,enabled,49893,791.0,nan,True,ok,True,ok
62SkDH82Brw,744,enabled,1918321,10510.0,nan,True,ok,True,ok
kxHK5mfwOmw,566,enabled,5118952,7345.0,nan,True,ok,True,ok
C3jh5E5-Z64,15,enabled,20179,182.0,nan,True,ok,True,ok
YWwqkKdv23g,18,enabled,8560,133.0,nan,True,ok,True,ok
wUNLGdqm_-0,1737,enabled,588294,8644.0,nan,True,ok,True,ok
xrP0RTb9ae8,2707,enabled,5359407,39640.0,nan,True,ok,True,ok
jKoxgxaNXEk,1435,enabled,586306,6737.0,nan,True,ok,True,ok
pv-7dgPoBn8,514,enabled,517700,6803.0,nan,True,ok,True,ok
KKyjkpFHPGk,8781,enabled,2613701,32447.0,nan,True,ok,True,ok
z1m5aRT_abw,17530,enabled,6015477,65913.0,nan,True,ok,True,ok
el9lIgKFMpA,19,enabled,24255,310.0,nan,True,ok,True,ok
TxQYjxPLH3Q,32,enabled,11010,341.0,nan,True,ok,True,ok
oU7siLAXVbA,2751,enabled,689527,15295.0,nan,True,ok,True,ok
eKL045fZ5A0,706,enabled,444638,2689.0,nan,True,ok,True,ok
IrlZjYcuDOo,94,enabled,84842,1268.0,nan,True,ok,True,ok
guKf_NDSKqw,1237,enabled,827867,14588.0,nan,True,ok,True,ok
cHEIue7P26A,9,enabled,38551,123.0,nan,True,ok,True,ok
47O_rpIa_vs,172,enabled,2028,104.0,nan,True,ok,True,ok
xTKmvLxqOJU,0,disabled,6061183,34559.0,nan,False,disabled,True,ok
3ffMTn9cJX4,199,enabled,333444,3088.0,nan,True,ok,True,ok
vIsipEJSMww,26777,enabled,8293300,66292.0,nan,True,ok,True,ok
nKte92jc8L8,6301,enabled,6652866,31685.0,nan,True,ok,True,ok
pMDKpPn8Ftk,44,enabled,222867,671.0,nan,True,ok,True,ok
xR3zhlmSrrc,27,enabled,22266,850.0,nan,True,ok,True,ok
1qSi8EUDgZ0,177,enabled,31871,1113.0,nan,True,ok,True,ok
w7N2V81KzdE,1464,enabled,1694495,15468.0,nan,True,ok,True,ok
pH5qhadzPbU,835,enabled,63081,1572.0,nan,True,ok,True,ok
cXYtNhJhVDo,896,enabled,369509,5035.0,nan,True,ok,True,ok
e2QuVrT9V4g,1545,enabled,1742149,15229.0,nan,True,ok,True,ok
Vjl5xGzkNvI,43,enabled,10749,620.0,nan,True,ok,True,ok
QKoXwdwM4Uo,307,enabled,512609,4016.0,nan,True,ok,True,ok
3l_fdT5hC70,1484,enabled,1974949,11958.0,nan,True,ok,True,ok
r236ual6gyM,893,enabled,2322023,23719.0,nan,True,ok,True,ok
wWdsGfzdReU,535,enabled,1969334,6742.0,nan,True,ok,True,ok
9IIF8pi76SI,69,enabled,72115,2181.0,nan,True,ok,True,ok
M6V9h_16lso,146,enabled,1065306,1393.0,nan,True,ok,True,ok
j4_9Amxs4o8,13486,enabled,335770,2387.0,nan,True,ok,True,ok
M1AiUxS2kRU,2985,enabled,2873405,12708.0,nan,True,ok,True,ok
vgA2gxUwEfg,302,enabled,28693,651.0,nan,True,ok,True,ok
EqZfh8AfSGE,2889,enabled,2251842,20805.0,nan,True,ok,True,ok
QQ1Xr4Vzam8,1765,enabled,15651459,23267.0,nan,True,ok,True,ok
szsITKAs5B0,2593,enabled,424326,7189.0,nan,True,ok,True,ok
WoQFcHDHyrY,22,enabled,14659,246.0,nan,True,ok,True,ok
-XtReMW4jXM,226,enabled,2186718,4476.0,nan,True,ok,True,ok
qFBSj8xOhU0,2533,enabled,1320628,19974.0,nan,True,ok,True,ok
tC90kKbPuEU,166,enabled,63290,649.0,nan,True,ok,True,ok
CNfJj6L9BH4,566,enabled,2241240,8821.0,nan,True,ok,True,ok
bQ6oACsSsy8,1632,enabled,2079428,21813.0,nan,True,ok,True,ok
JLAnRDdK0kw,0,disabled,11457172,93448.0,nan,False,disabled,True,ok
S9gP6jrLv7I,5823,enabled,2694273,42538.0,nan,True,ok,True,ok
xtAOmpnSwvg,172,enabled,165887,3941.0,nan,True,ok,True,ok
EaBOPZBSNCc,219,enabled,44710,367.0,nan,True,ok,True,ok
2LQyh_QwwX0,11,enabled,106952,62.0,nan,True,ok,True,ok
7iPRFFVd5PU,1239,enabled,2274418,12641.0,nan,True,ok,True,ok
cRVwUVRPvm8,72,enabled,131278,951.0,nan,True,ok,True,ok
G-vIuwqUO5M,202,enabled,144940,3395.0,nan,True,ok,True,ok
fhN7f1GtE9Q,7275,enabled,10566769,61310.0,nan,True,ok,True,ok
xQqjnyrT0ms,2131,enabled,8754397,100939.0,nan,True,ok,True,ok
Ed9DXly5VJY,3877,enabled,2964796,58359.0,nan,True,ok,True,ok
DIf5CKW4SOg,736,enabled,278514,3126.0,nan,True,ok,True,ok
YTH07sws92E,0,disabled,1385633,23647.0,nan,False,disabled,True,ok
U9e3WA3ZHek,151,enabled,2003926,7311.0,nan,True,ok,True,ok
06JwbwL3yEk,49,enabled,68057,1693.0,nan,True,ok,True,ok
iftua6lS7vI,2909,enabled,115697,1435.0,nan,True,ok,True,ok
NOhyduxTOGo,2624,enabled,13109957,58397.0,nan,True,ok,True,ok
xpc62ygz3HU,1864,enabled,3265614,37281.0,nan,True,ok,True,ok
X1PsuaqmJjA,428,enabled,2196293,6055.0,nan,True,ok,True,ok
z9gRMUjeMNg,501,enabled,120226,4500.0,nan,True,ok,True,ok
BhKemHXgArg,816,enabled,481051,6466.0,nan,True,ok,True,ok
jncaJ_OJajs,958,enabled,101759,2877.0,nan,True,ok,True,ok
fC8Y0Tj2bsQ,135,enabled,39447,1033.0,nan,True,ok,True,ok
6pqGXh3CbPM,34,enabled,61436,485.0,nan,True,ok,True,ok
_pjzQgq6BzM,11,enabled,8685,169.0,nan,True,ok,True,ok
