"video_id,comment_count,comments_status,view_count,like_count,error"
"y-LarSry8BE,240,enabled,113490,1095,"
"7UVuz5l1g7Y,10,enabled,32917,2532,"
"a15jXgmTBbU,3722,enabled,7214264,29204,"
"hbURFbm1jlE,660,enabled,2637780,11462,"
"LEkEf9kdSsU,1087,enabled,9256984,18560,"
"D4BG6h0j6Yc,126,enabled,40814,606,"
"dAB7r3DA0w4,2423,enabled,1581356,5886,"
"2Hhc1SbptPY,0,disabled,65059,360,"
"ZEh2lrttbKM,87,enabled,18730,373,"
"7uRiHWuvqfI,395,enabled,176349,3329,"
"5sAaNzBGtCc,7874,enabled,3961282,47820,"
"vjl2eJP4O9s,4196,enabled,11526408,35014,"
"3ptuCpOxT7o,443,enabled,1670780,4054,"
"ziwE4WIBjN4,945,enabled,1474554,10880,"
"1PidVM63yyY,250,enabled,502930,1457,"
"7cYgPMGDgbk,1016,enabled,699794,4519,"
"s-EVs2FPfco,558,enabled,331613,2197,"
"AORABZEP3V0,19,enabled,6394,102,"
"YVp6q68lvYI,1157,enabled,1180871,10423,"
"b0SuJxtXLnA,140,enabled,74983,772,"
"SUUTiQHno8g,5472,enabled,10081605,79629,"
"DTSu6UjvceY,416,enabled,180093,1389,"
"nai4HyeRnxw,576,enabled,1623328,8457,"
"Looyvy7QsiI,2164,enabled,2512671,32090,"
"AjMhJlrro_k,127,enabled,1001969,4142,"
"2C5OP4ElE50,36,enabled,22098,316,"
"2JfClOxmMAc,565,enabled,947193,7060,"
"_IYtTJMVKI8,2666,enabled,639104,12948,"
"QC6gsVTlvRo,2740,enabled,691582,4979,"
"MSqtLmrGQJA,2168,enabled,3120037,49032,"
"YGBzEN6_t6c,4151,enabled,1682647,18664,"
"B4KNQQs8I0k,108,enabled,34192,1026,"
"NcUchJEPd6k,339,enabled,220052,1724,"
"4a2W7ZeqRpc,3659,enabled,3620808,33077,"
"JJV2tO7Ad1U,653,enabled,5890141,27930,"
"cQ8UBY8x-Zk,1935,enabled,1500785,12513,"
"y98nWwKnzfA,393,enabled,194694,3642,"
"Mswr5cic_I4,9500,enabled,5227347,128393,"
"Id0ud_UfIK8,20942,enabled,3390397,42284,"
"NgJoRnmUtoY,0,disabled,782471,4399,"
"TRuPqaFWWpI,162,enabled,66807,393,"
"lr3au-ZdIOE,5638,enabled,3269989,28242,"
"XtCEe8ssRVc,2535,enabled,18290267,74260,"
"X45VihfG-QE,102,enabled,881268,2613,"
"Yhj4-pwi0sg,4286,enabled,25059424,82723,"
"6SP0DweBVXw,22,enabled,24333,330,"
"daI0FdA3wpw,1171,enabled,1094449,16829,"
"dh-agoAnKe8,9928,enabled,1981022,19108,"
"2daR-0XU8-o,444,enabled,177203,2794,"
"L7JQ6tr_izE,4956,enabled,5487818,39148,"
"0NpuyvsUVHo,3308,enabled,4035528,32865,"
"olQw2CWY7yQ,162,enabled,44699,1176,"
"TyKB84y-YvE,10336,enabled,12382975,51203,"
"NsBgzwgXjrA,267,enabled,94773,1950,"
"XXe5ZEqHABo,23,enabled,16801,283,"
"yPoPmdvlyS0,251,enabled,108389,2212,"
"CCBhLoSwhLY,522,enabled,132472,2618,"
"ihsTONOFVic,8361,enabled,14718969,346037,"
"a7nMhCOEptg,282,enabled,461617,6395,"
"3c1BWmw2ly0,1000,enabled,3466115,24977,"
"UZ_Lp0coivc,4554,enabled,812574,15278,"
"pCsHAK7VYUU,4685,enabled,1760714,9937,"
"x3_dJaZjwHo,5627,enabled,7458479,53927,"
"J4mExd_0CQw,5,enabled,3055,36,"
"NizJCibudx8,144,enabled,530460,2879,"
"sW1rC2aLOfU,1411,enabled,2030735,14472,"
"hz-iqA2wKgI,12349,enabled,15147403,78129,"
"OcskK2npFwg,2403,enabled,3413288,31873,"
"i6GYVgEUe0Q,100,enabled,38963,938,"
"2WBgxCktEIs,245,enabled,39741,1307,"
